operation,details,cpu_usage,memory_used,memory_total,memory_percent,data_size,num_transactions,timestamp,pid
Key Exchange,Agent_B sent its key to Agent_A,0.0,30375936,8589934592,77.9,1,0,1718157497.328073,29685
Message Sending,Agent_B sent 'Request Transaction' to Agent_A,0.0,31014912,8589934592,77.2,1,0,1718157498.692917,29685
Transaction,Transaction from Agent_B to Agent_A,0.0,31195136,8589934592,77.9,1,0,1718157499.706275,29685
Block Addition,Block added by Agent_B after transaction with Agent_A,0.0,31227904,8589934592,77.4,2,1,1718157502.747334,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.1,24084480,8589934592,77.0,2,1,1718157510.3462121,29685
Block Addition,Block added by Agent_B after transaction with Agent_A,0.0,24117248,8589934592,77.1,3,1,1718157511.362089,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.3,24248320,8589934592,77.7,3,1,1718157516.354035,29685
Transaction,Transaction from Agent_B to Agent_A,0.1,24313856,8589934592,77.7,3,1,1718157516.7015302,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,24313856,8589934592,77.6,3,1,1718157522.367332,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.1,23445504,8589934592,77.4,3,1,1718157528.3784268,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23560192,8589934592,77.1,3,1,1718157539.3934898,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23953408,8589934592,77.5,3,1,1718157547.405047,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23543808,8589934592,77.2,3,1,1718157563.4219038,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23560192,8589934592,77.5,3,1,1718157583.449269,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23642112,8589934592,77.0,3,1,1718157589.461022,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23658496,8589934592,77.1,3,1,1718157600.4741051,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23642112,8589934592,76.8,3,1,1718157611.4843159,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23642112,8589934592,77.2,3,1,1718157618.495658,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23642112,8589934592,77.2,3,1,1718157625.506859,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,23592960,8589934592,77.8,3,1,1718157632.519552,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18743296,8589934592,77.4,3,1,1718157665.552168,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,19267584,8589934592,77.9,3,1,1718157672.56756,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,19267584,8589934592,77.8,3,1,1718157688.586478,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,22331392,8589934592,77.9,3,1,1718157697.602675,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,22282240,8589934592,77.3,3,1,1718157705.613442,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,17367040,8589934592,80.1,3,1,1718157726.639286,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18612224,8589934592,78.9,3,1,1718157737.651513,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18776064,8589934592,78.5,3,1,1718157756.6666691,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18776064,8589934592,77.4,3,1,1718157764.680523,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,17530880,8589934592,78.9,3,1,1718157807.71339,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18628608,8589934592,77.3,3,1,1718157815.728272,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18710528,8589934592,76.9,3,1,1718157836.742795,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18710528,8589934592,77.6,3,1,1718157863.7643058,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18726912,8589934592,78.7,3,1,1718157873.780638,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18661376,8589934592,77.0,3,1,1718157889.794359,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18677760,8589934592,78.7,3,1,1718157911.813365,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18726912,8589934592,79.4,3,1,1718157922.8246431,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,17711104,8589934592,78.2,3,1,1718157938.84615,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18661376,8589934592,78.5,3,1,1718157954.8624918,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,18595840,8589934592,79.3,3,1,1718157965.8764591,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,12599296,8589934592,80.3,3,1,1718157985.889875,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,11616256,8589934592,79.5,3,1,1718157996.9021409,29685
Request Transaction,Agent_B requested a transaction from Agent_A,0.0,12697600,8589934592,79.7,3,1,1718158007.9094121,29685
